Read: k = 0, row = 0, col = 0, A = 296965303
199 4068 189831384.175000
200 4071 -405856110.066000
201 4072 -330283.384982
202 4075 14078329.284900
203 4177 -189501100.790000
204 4178 419934439.351000
205 4181 189831384.175000
206 4182 405856110.066000
207 4185 -330283.384982
208 4186 -14078329.284900
209 4289 -419934439.351000
210 4290 -3573215896.120000
211 4293 405856110.066000
212 4294 6241431243.190000
213 4297 14078329.284900
214 4298 393111659.667000
215 4400 419934439.351000
216 4403 -3573215896.120000
217 4404 -405856110.066000
218 4407 6241431243.190000
219 4408 -14078329.284900
220 4411 393111659.667000
221 4516 -330283.384982
222 4519 -14078329.284900
223 4520 42437449.228000
224 4523 257197086.659000
225 4524 -42107165.843000
226 4527 271275415.944000
227 4629 -330283.384982
228 4630 14078329.284900
229 4633 42437449.228000
230 4634 -257197086.659000
231 4637 -42107165.843000
232 4638 -271275415.944000
233 4741 -14078329.284900
234 4742 393111659.667000
235 4745 -257197086.659000
236 4746 4057458593.980000
237 4749 271275415.944000
238 4750 244991052.316000
239 4852 14078329.284900
240 4855 393111659.667000
241 4856 257197086.659000
242 4859 4057458593.980000
243 4860 -271275415.944000
244 4863 244991052.316000
245 4968 -42107165.843000
246 4971 -271275415.944000
247 4972 43166557.656700
248 4975 -250959150.035000
249 4976 -550091.813682
250 4979 20316265.908800
251 5081 -42107165.843000
252 5082 271275415.944000
253 5085 43166557.656700
254 5086 250959150.035000
255 5089 -550091.813682
256 5090 -20316265.908800
257 5193 -271275415.944000
258 5194 244991052.316000
259 5197 250959150.035000
260 5198 4262854087.300000
261 5201 20316265.908800
262 5202 488199576.171000
263 5304 271275415.944000
264 5307 244991052.316000
265 5308 -250959150.035000
266 5311 4262854087.300000
267 5312 -20316265.908800
268 5315 488199576.171000
269 5420 -550091.813682
270 5423 -20316265.908800
271 5424 583761.425065
272 5427 -17216557.310800
273 5428 -33669.611383
274 5431 3099708.597970
275 5533 -550091.813682
276 5534 20316265.908800
277 5537 583761.425065
278 5538 17216557.310800
279 5541 -33669.611383
280 5542 -3099708.597970
281 5645 -20316265.908800
282 5646 488199576.171000
283 5649 17216557.310800
284 5650 1393658877.880000
285 5653 3099708.597970
286 5654 189536372.902000
287 5756 20316265.908800
288 5759 488199576.171000
289 5760 -17216557.310800
290 5763 1393658877.880000
291 5764 -3099708.597970
292 5767 189536372.902000
293 5872 -33669.611383
294 5875 -3099708.597970
295 5876 38798237.669700
296 5879 255072314.670000
297 5880 -38764568.058300
298 5883 258172023.268000
299 5985 -33669.611383
300 5986 3099708.597970
301 5989 38798237.669700
302 5990 -255072314.670000
303 5993 -38764568.058300
304 5994 -258172023.268000
305 6097 -3099708.597970
306 6098 189536372.902000
307 6101 -255072314.670000
308 6102 3510285309.830000
309 6105 258172023.268000
310 6106 309763512.804000
311 6208 3099708.597970
312 6211 189536372.902000
313 6212 255072314.670000
314 6215 3510285309.830000
315 6216 -258172023.268000
316 6219 309763512.804000
317 6324 -38764568.058300
318 6327 -258172023.268000
319 6328 40183435.616300
320 6331 -230234655.724000
321 6332 -909567.558023
322 6335 27937367.544700
323 6437 -38764568.058300
324 6438 258172023.268000
325 6441 40183435.616300
326 6442 230234655.724000
327 6445 -909567.558023
328 6446 -27937367.544700
329 6549 -258172023.268000
330 6550 309763512.804000
331 6553 230234655.724000
332 6554 4292844182.190000
333 6557 27937367.544700
334 6558 552436143.207000
335 6660 258172023.268000
336 6663 309763512.804000
337 6664 -230234655.724000
338 6667 4292844182.190000
339 6668 -27937367.544700
340 6671 552436143.207000
341 6776 -909567.558023
342 6779 -27937367.544700
343 6780 3409726.069780
344 6783 24565961.202200
345 6784 -2500158.511760
346 6787 52503328.746900
347 6889 -909567.558023
348 6890 27937367.544700
349 6893 3409726.069780
350 6894 -24565961.202200
351 6897 -2500158.511760
352 6898 -52503328.746900
353 7001 -27937367.544700
354 7002 552436143.207000
355 7005 -24565961.202200
356 7006 2686440534.460000
357 7009 52503328.746900
358 7010 682455617.971000
359 7112 27937367.544700
360 7115 552436143.207000
361 7116 24565961.202200
362 7119 2686440534.460000
363 7120 -52503328.746900
364 7123 682455617.971000
365 7228 -2500158.511760
366 7231 -52503328.746900
367 7232 8801000.250060
368 7235 42009297.327600
369 7236 -6300841.738300
370 7239 94512626.074500
371 7341 -2500158.511760
372 7342 52503328.746900
373 7345 8801000.250060
374 7346 -42009297.327600
375 7349 -6300841.738300
376 7350 -94512626.074500
377 7453 -52503328.746900
378 7454 682455617.971000
379 7457 -42009297.327600
380 7458 3547183580.520000
381 7461 94512626.074500
382 7462 810879391.117000
383 7564 52503328.746900
384 7567 682455617.971000
385 7568 42009297.327600
386 7571 3547183580.520000
387 7572 -94512626.074500
388 7575 810879391.117000
389 7680 -6300841.738300
390 7683 -94512626.074500
391 7684 12601683.476600
392 7688 -6300841.738300
393 7691 94512626.074500
394 7793 -6300841.738300
395 7794 94512626.074500
396 7797 12601683.476600
397 7801 -6300841.738300
398 7802 -94512626.074500
399 7905 -94512626.074500
400 7906 810879391.117000
401 7910 4048998782.230000
402 7913 94512626.074500
403 7914 810879391.117000
404 8016 94512626.074500
405 8019 810879391.117000
406 8023 4048998782.230000
407 8024 -94512626.074500
408 8027 810879391.117000
409 8132 -6300841.738300
410 8135 -94512626.074500
411 8136 28373429.047200
412 8139 170358421.633000
413 8140 -22072587.308900
414 8143 264871047.707000
415 8245 -6300841.738300
416 8246 94512626.074500
417 8249 28373429.047200
418 8250 -170358421.633000
419 8253 -22072587.308900
420 8254 -264871047.707000
421 8357 -94512626.074500
422 8358 810879391.117000
423 8361 -170358421.633000
424 8362 6930451963.610000
425 8365 264871047.707000
426 8366 1450952572.490000
427 8468 94512626.074500
428 8471 810879391.117000
429 8472 170358421.633000
430 8475 6930451963.610000
431 8476 -264871047.707000
432 8479 1450952572.490000
433 8584 -22072587.308900
434 8587 -264871047.707000
435 8588 23543789.287000
436 8591 -235520568.245000
437 8592 -1471201.978070
438 8595 29350479.462500
439 8697 -22072587.308900
440 8698 264871047.707000
441 8701 23543789.287000
442 8702 235520568.245000
443 8705 -1471201.978070
444 8706 -29350479.462500
445 8809 -264871047.707000
446 8810 1450952572.490000
447 8813 235520568.245000
448 8814 5710148773.100000
449 8817 29350479.462500
450 8818 366887929.939000
451 8920 264871047.707000
452 8923 1450952572.490000
453 8924 -235520568.245000
454 8927 5710148773.100000
455 8928 -29350479.462500
456 8931 366887929.939000
457 9036 -1471201.978070
458 9039 -29350479.462500
459 9040 9441904.989230
460 9043 -27046371.989800
461 9044 -30703.011163
462 9047 2304107.472760
463 9149 -1471201.978070
464 9150 29350479.462500
465 9153 29001904.989200
466 9154 27046371.989800
467 9157 -30703.011163
468 9158 -2304107.472760
469 9261 -29350479.462500
470 9262 366887929.939000
471 9265 27046371.989800
472 9266 1035235069.630000
473 9269 2304107.472760
474 9270 114784621.567000
475 9372 29350479.462500
476 9375 366887929.939000
477 9376 -27046371.989800
478 9379 1035235069.630000
479 9380 -2304107.472760
480 9383 114784621.567000
481 9488 -30703.011163
482 9491 -2304107.472760
483 9492 112445.943643
484 9495 2110419.595800
485 9496 -81742.932480
486 9499 4414527.068560
487 9601 -30703.011163
488 9602 2304107.472760
489 9605 112445.943643
490 9606 -2110419.595800
491 9609 -81742.932480
492 9610 -4414527.068560
493 9713 -2304107.472760
494 9714 114784621.567000
495 9717 -2110419.595800
496 9718 550218479.924000
497 9721 4414527.068560
498 9722 157633457.771000
499 9824 2304107.472760
500 9827 114784621.567000
501 9828 2110419.595800
502 9831 550218479.924000
503 9832 -4414527.068560
504 9835 157633457.771000
505 9940 -81742.932480
506 9943 -4414527.068560
507 9944 7356558.795250
508 9947 74699095.439000
509 9948 -7274815.862770
510 9951 79113622.507600
511 10053 -81742.932480
512 10054 4414527.068560
513 10057 7356558.795250
514 10058 -74699095.439000
515 10061 -7274815.862770
516 10062 -79113622.507600
517 10165 -4414527.068560
518 10166 157633457.771000
519 10169 -74699095.439000
520 10170 1603747152.230000
521 10173 79113622.507600
522 10174 436153748.219000
523 10276 4414527.068560
524 10279 157633457.771000
525 10280 74699095.439000
526 10283 1603747152.230000
527 10284 -79113622.507600
528 10287 436153748.219000
529 10392 -7274815.862770
530 10395 -79113622.507600
531 10396 34924194.796500
532 10399 77105368.468100
533 10400 -27649378.933800
534 10403 156218990.976000
535 10505 -7274815.862770
536 10506 79113622.507600
537 10509 34924194.796500
538 10510 -77105368.468100
539 10513 -27649378.933800
540 10514 -156218990.976000
541 10617 -79113622.507600
542 10618 436153748.219000
543 10621 -77105368.468100
544 10622 2983709265.110000
545 10625 156218990.976000
546 10626 66132874.234100
547 10728 79113622.507600
548 10731 
